"","year","country","number_of_attacks","eventsLT1hr","success","suicide_attack","confirmed_fatalities","confirmed_us_fatal","nkillter","nwound","nwoundus","nwoundte","involved_property","ransom","atktrg_gov","atktrg_diplom","atktrg_relig","atktrg_air","atktrg_military","atktrg_buss","atktrg_priv","with_explosives","with_sabotage","with_firearm"
"1",1970,"Argentina",21,2,21,0,5,0,0,2,0,0,13,2,5,4,0,0,2,2,4,4,0,11
"2",1970,"Australia",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"3",1970,"Belgium",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"4",1970,"Bolivia",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"5",1970,"Brazil",6,3,3,0,2,0,0,1,0,0,0,4,0,5,0,1,0,0,0,0,0,0
"6",1970,"Canada",2,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
"7",1970,"Colombia",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",1970,"Dominican Republic",2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"9",1970,"Egypt",1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0
"10",1970,"Ethiopia",3,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"11",1970,"Germany",32,1,31,0,8,0,0,9,0,0,30,0,9,3,1,3,2,7,2,14,0,5
"12",1970,"Greece",3,0,3,0,2,0,2,0,0,0,2,0,0,2,0,1,0,0,0,2,0,1
"13",1970,"Guatemala",4,2,4,0,2,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,1
"14",1970,"Iran",5,0,4,0,0,0,0,1,0,0,3,0,0,1,0,3,0,1,0,2,0,1
"15",1970,"Ireland",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"16",1970,"Italy",3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1
"17",1970,"Japan",2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
"18",1970,"Jordan",9,5,8,0,1,0,0,1,0,0,4,2,0,3,0,0,3,2,0,1,0,3
"19",1970,"Lebanon",1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"20",1970,"Mexico",2,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"21",1970,"Netherlands",3,1,2,0,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,3
"22",1970,"Nicaragua",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"23",1970,"Pakistan",1,0,1,0,4,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24",1970,"Paraguay",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"25",1970,"Philippines",10,0,9,0,41,1,0,13,0,0,6,0,0,4,0,2,3,0,0,6,0,0
"26",1970,"Spain",4,1,3,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,0,0
"27",1970,"Switzerland",3,1,3,0,47,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0
"28",1970,"Turkey",12,0,9,0,0,0,0,1,0,0,11,0,0,3,0,2,5,1,0,9,0,1
"29",1970,"United Kingdom",12,0,10,0,20,0,6,1,0,0,4,1,0,1,1,1,0,0,6,2,0,7
"30",1970,"United States",468,1,385,0,33,27,4,160,132,1,337,0,58,12,11,2,67,101,44,280,1,36
"31",1970,"Uruguay",33,4,31,0,3,0,2,0,0,0,26,5,4,3,0,1,2,16,0,8,0,8
"32",1970,"Venezuela",2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"33",1971,"Argentina",7,1,7,0,5,0,0,0,0,0,5,0,0,0,0,0,2,3,0,2,0,3
"34",1971,"Australia",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"35",1971,"Bolivia",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"36",1971,"Brazil",3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0
"37",1971,"Cambodia",2,0,1,0,2,0,0,10,0,0,0,0,0,2,0,0,0,0,0,2,0,0
"38",1971,"Costa Rica",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39",1971,"Dominican Republic",3,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,2
"40",1971,"Egypt",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"41",1971,"Ethiopia",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"42",1971,"Germany",17,0,15,0,0,0,0,0,0,0,16,0,3,1,0,0,0,4,0,7,0,2
"43",1971,"Greece",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"44",1971,"Guatemala",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"45",1971,"Iran",11,0,10,0,4,0,0,0,0,0,8,0,1,1,0,0,5,1,0,3,0,5
"46",1971,"Ireland",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"47",1971,"Israel",1,0,1,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"48",1971,"Italy",3,0,3,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,3,0,0
"49",1971,"Jordan",5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,1,0,3,0,4,0,0
"50",1971,"Lebanon",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"51",1971,"Netherlands",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"52",1971,"Philippines",4,0,4,0,0,0,0,0,0,0,3,0,0,1,0,1,1,1,0,3,0,1
"53",1971,"Poland",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"54",1971,"Spain",22,0,21,0,0,0,0,0,0,0,20,1,3,2,0,2,0,5,1,19,0,0
"55",1971,"Sweden",2,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1
"56",1971,"Switzerland",1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"57",1971,"Taiwan",1,0,1,0,25,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
